Timestamp,Price,Volume,Field4,Field5,Field6,Field7,Field8
1656595234,14.68,73,0.0,0,,,
1656685576,17.89,69,0.0,0,,,
1656771984,14.29,71,0.0,0,,,
1656858381,16.67,70,0.0,0,,,
1656944805,15.99,72,0.0,0,,,
1657031452,15.86,78,0.0,0,,,
1657117853,14.87,84,0.0,0,,,
1657204250,14.7,86,0.0,0,,,
1657290645,14.69,86,0.0,0,,,
1657377037,14.09,92,0.0,0,,,
1657463432,13.9,88,0.0,0,,,
1657549824,14.23,87,0.0,0,,,
1657636219,13.74,83,0.0,0,,,
1657722604,13.82,74,0.0,0,,,
1657809016,13.9,69,0.0,0,,,
1657895450,14.5,69,0.0,0,,,
1657981848,14.34,82,0.0,0,,,
1658068244,14.13,85,0.0,0,,,
1658154640,14.15,81,0.0,0,,,
1658241037,14.5,72,0.0,0,,,
1658327433,14.39,73,0.0,0,,,
1658414011,15.89,64,0.0,0,,,
1658500423,15.69,68,0.0,0,,,
1658586820,15.49,72,0.0,0,,,
1658673216,15.39,68,0.0,0,,,
1658759614,14.88,68,0.0,0,,,
1658846014,15.89,67,0.0,0,,,
1658932410,15.89,67,0.0,0,,,
1659018806,17.0,65,0.0,0,,,
1659105199,17.0,63,0.0,0,,,
1659191596,17.0,67,0.0,0,,,
1659277991,15.98,68,0.0,0,,,
1659364403,16.18,66,0.0,0,,,
1659450799,16.0,68,0.0,0,,,
1659537194,15.57,73,0.0,0,,,
1659623593,15.26,73,0.0,0,,,
1659711120,14.6,75,0.0,0,,,
1659797601,14.6,75,0.0,0,,,
1659884241,14.4,79,0.0,0,,,
1659970840,14.16,80,0.0,0,,,
1660057324,14.05,85,0.0,0,,,
1660143726,14.11,83,0.0,0,,,
1660230124,15.1,82,0.0,0,,,
1660316521,15.05,87,0.0,0,,,
1660402918,15.57,81,0.0,0,,,
1660489344,15.27,79,0.0,0,,,
1660575749,15.0,80,0.0,0,,,
1660662138,15.56,83,0.0,0,,,
1660748535,15.55,80,0.0,0,,,
1660834932,15.57,72,0.0,0,,,
1660921329,15.37,71,0.0,0,,,
1661007725,17.41,59,0.0,0,,,
1661094124,16.6,58,0.0,0,,,
1661181030,18.39,57,0.0,0,,,
1661267439,18.7,59,0.0,0,,,
1661353837,18.6,60,0.0,0,,,
1661440322,18.03,62,0.0,0,,,
1661526722,18.0,64,0.0,0,,,
1661613122,17.34,65,0.0,0,,,
1661699551,17.69,66,0.0,0,,,
1661785948,17.38,70,0.0,0,,,
1661872735,17.48,58,0.0,0,,,
1661959141,17.38,62,0.0,0,,,
1662045541,17.59,58,0.0,0,,,
1662131942,18.29,59,0.0,0,,,
1662218342,18.04,71,0.0,0,,,
1662304750,18.26,67,0.0,0,,,
1662391141,17.93,73,0.0,0,,,
1662477532,17.5,74,0.0,0,,,
1662563936,17.5,72,0.0,0,,,
1662650508,17.48,71,0.0,0,,,
1662737150,16.97,76,0.0,0,,,
1662794767,17.2,78,0.0,0,,,
1662909903,17.1,74,0.0,0,,,
1662997512,16.89,78,0.0,0,,,
1663083998,16.43,76,0.0,0,,,
1663170404,16.5,70,0.0,0,,,
1663256809,16.39,65,0.0,0,,,
1663343232,17.05,66,0.0,0,,,
1663429676,17.6,61,0.0,0,,,
1663516127,17.46,61,0.0,0,,,
1663602520,17.5,64,0.0,0,,,
1663688914,17.3,67,0.0,0,,,
1663775389,17.0,68,0.0,0,,,
1663861786,17.59,69,0.0,0,,,
1663948184,17.29,70,0.0,0,,,
1664034605,17.39,69,0.0,0,,,
1664120993,18.03,66,0.0,0,,,
1664207405,17.82,67,0.0,0,,,
1664293814,17.73,67,0.0,0,,,
1664380220,17.73,70,0.0,0,,,
1664466618,17.73,71,0.0,0,,,
1664553009,17.73,72,0.0,0,,,
1664639414,18.97,70,0.0,0,,,
1664725819,18.0,72,0.0,0,,,
1664812261,18.48,68,0.0,0,,,
1664898664,18.98,70,0.0,0,,,
1664985182,19.0,70,0.0,0,,,
1665071588,19.5,71,0.0,0,,,
1665157990,19.86,68,0.0,0,,,
1665244407,19.5,70,0.0,0,,,
1665330816,19.5,73,0.0,0,,,
1665417212,18.79,80,0.0,0,,,
1665503614,18.8,85,0.0,0,,,
1665590016,17.6,87,0.0,0,,,
1665676407,17.67,87,0.0,0,,,
1665762813,17.67,89,0.0,0,,,
1665849217,17.82,85,0.0,0,,,
1665935624,17.63,85,0.0,0,,,
1666022029,17.52,86,0.0,0,,,
1666108416,17.26,88,0.0,0,,,
1666194799,17.39,63,0.0,0,,,
1666281172,19.7,78,0.0,0,,,
1666367569,18.98,82,0.0,0,,,
1666453963,17.87,93,0.0,0,,,
1666540134,17.75,94,0.0,0,,,
1666626558,17.5,99,0.0,0,,,
1666712993,17.5,94,0.0,0,,,
